What is the primary function of 'Margin Marks' in the Active Reading Toolkit?,To annotate books directly using a visual system of symbols and colour-coding.
What is the benefit of using the Voice Notes Webapp while reading?,It allows for hands-free recording of thoughts without interrupting the reading flow.
How does the Voice Notes Webapp connect insights back to specific locations in a book?,It uses a card numbering system (such as 'N3-1f') that matches notations marked directly in the book.
The Index Card Notebook is designed to facilitate which two learning processes?,Active recall and spaced repetition.
"In the three-step Active Reading process, what is the purpose of step 1: 'Mark While Reading'?","To flag important ideas, confusing passages, and interesting connections directly on the page."
What occurs during the 'Consolidate Learning' phase of the Active Reading process?,The most important ideas are transferred to index cards for organisation and long-term retention.
"Which symbol should be used to mark key sentences, definitions, or claims worth remembering?",Underlining.
What do brackets ($[ ]$) signify when used as margin marks?,Significant passages or entire paragraphs.
"Which symbol is used to identify surprising facts, counter-intuitive ideas, or 'aha' moments?",An exclamation point ($!$).
"In the margin marking system, what does a question mark ($?$) indicate?","Unclear points, claims needing verification, or ideas to explore."
Which mark is reserved for the most important concepts and core arguments?,A star or a circle.
What is the purpose of using a vertical line ($|$) in the margin?,To mark extended sections of text that span multiple lines.
"According to the spatial margin note system, what should be written in the top margin?",A summary of the main idea of the section.
What three types of information should be recorded in the side margins?,"Definitions, personal reactions, and related ideas."
What three types of information are designated for the bottom margin?,"Questions, applications, and counterexamples."
What is the recommended maximum word count for margin notes to ensure brevity?,Three to five words.
What colour should be used to mark main ideas in the optional colour-coding system?,Black.
"In the colour-coding system, what information is represented by the colour blue?",Evidence and examples.
Which colour is used to highlight questions or gaps in the text?,Red.
What does the colour green signify in the margin marking system?,Connections to other ideas.
Why should a reader wait until completing a full section before marking the text?,"To ensure they identify significant patterns rather than individual, less-important facts."
Which instance of a recurring concept should be marked in the text?,The first mention of the concept.
What is the '24-Hour Review' rule in active reading?,Scanning all marked passages and summarising key points within one day of reading.
How should a reader use margins to link complex ideas over time?,By cross-referencing related pages within the margins.
"In the Eight-Node system, what does 'N1' represent?",The primary concept or main idea.
Which node is used for key supporting evidence or examples?,N2.
What type of information is categorised under 'N3'?,Related concepts or connections.
"In the Eight-Node system, what is the focus of 'N4'?",Questions or critical analysis.
Which node is dedicated to personal reflections or reactions?,N5.
What is the purpose of 'N6' in the Eight-Node index card system?,To record alternative viewpoints.
"In the Eight-Node system, what does 'N7' represent?",Practical applications or uses.
What specific information is recorded in 'N8'?,"Source references, such as page numbers and chapters."
"In the index card numbering system, what does the suffix 'r' represent?",The reverse side of the card.
How many cards does the premium Index Card Notebook contain?,160 high-quality $4 \times 6$ inch cards.
How is the Index Card Notebook structured to manage cards?,It is divided into 8 sections of 20 cards each.
What are the dimensions of the Index Card Notebook executive size?,$7.25 \times 10.5$ inches.
What feature of the Index Card Notebook makes it 'Zettelkasten-ready'?,The headers for progressive numbering and four-digit addresses.
The abbreviation '🔗' is used in the margins to denote a _____.,Connection.
Which abbreviation is used to mark a specific quote from the text?,"The double quotation mark symbol ("")."
What is the first step of the Post-Reading Review Process?,Scan all marked passages within 24 hours.
"During the review process, what should a reader do regarding their recorded assumptions?",Question the assumptions and mark where they disagree.
"In the Index Card Manager, what does the 'Addr' field represent?",The unique card address or location within the system.
What is the benefit of the 'One-idea-per-card' note-taking method?,It facilitates modular organisation for brainstorming and project management.
Which system uses eight distinct nodes to categorise information from evidence to personal reflections?,Synthesising Insight: The Eight-Node System.
How does the 'Architect’s Manual' describe the progression of active reading?,It moves from initial engagement on the page to deep synthesis and long-term retention.
"Author: Sevetech https://sites.google.com/view/paperstackpro/home/flashcard-decks","CC BY-NC-SA 4.0"

