"What is a Claude Code plugin?","A self-contained directory bundling skills, agents, hooks, MCP servers, or LSP servers that extends Claude Code, shareable across projects and teams via marketplaces."
"How is a plugin different from standalone .claude/ configuration?","Standalone config (.claude/) is personal/project-only with unprefixed names like /hello. Plugins are namespaced (/plugin-name:hello), versioned, and installable/shareable via marketplaces."
"When should I use standalone config vs a plugin?","Start with .claude/ for quick personal iteration and experiments. Convert to a plugin once you want to share it with teammates or the community."
"What is the minimum command to create a plugin directory?","mkdir my-first-plugin — plugins can live anywhere convenient (scratch folder, projects directory) during development."
"What file defines a plugin's identity?",".claude-plugin/plugin.json — the manifest containing name, description, version, and author fields."
"What are the required-feeling core fields in plugin.json?","name (unique identifier + skill namespace), description (shown in plugin manager), version (optional, controls updates), and author (optional, for attribution)."
"Why does the plugin name matter beyond identification?","It becomes the skill namespace prefix — a skill named hello in a plugin called my-first-plugin becomes /my-first-plugin:hello."
"Where do a plugin's skills live?","In a skills/ directory at the plugin root, each skill as its own folder containing a SKILL.md file."
"How does a skill folder name become its invocation name?","The folder name is prefixed with the plugin's namespace — hello/ inside my-first-plugin becomes /my-first-plugin:hello."
"What does a minimal SKILL.md look like?","YAML frontmatter with a description field, followed by markdown instructions describing what Claude should do when the skill activates."
"What does disable-model-invocation: true do in SKILL.md frontmatter?","Prevents Claude from automatically triggering the skill based on context — it only runs when explicitly invoked via its slash command."
"How do I test a plugin without installing it?","claude --plugin-dir ./my-first-plugin — loads the plugin directly for that session, no marketplace or install step required."
"How do I pick up changes to a plugin during development?","Run /reload-plugins inside the session — reloads plugins, skills, agents, hooks, plugin MCP servers, and plugin LSP servers without restarting."
"Why are plugin skills always namespaced?","To prevent naming conflicts when multiple plugins define skills with the same name — e.g. two plugins can each have a 'review' skill without colliding."
"How do I change a plugin's namespace prefix?","Update the name field in plugin.json — the namespace always derives from that field."
"How do I make a skill accept dynamic user input?","Use the $ARGUMENTS placeholder in SKILL.md — it captures any text the user types after the skill name, e.g. /my-first-plugin:hello Alex."
"What common mistake breaks plugin structure?","Putting commands/, agents/, skills/, or hooks/ inside .claude-plugin/ — only plugin.json belongs there. All other directories must sit at the plugin root."
"What is the plugin root, precisely?","The individual plugin's own directory — the one passed to --plugin-dir or containing .claude-plugin/plugin.json. It is never ~/.claude/."
"What does the commands/ directory do vs skills/?","commands/ holds skills as flat Markdown files (legacy pattern); skills/ holds skills as <name>/SKILL.md directories. New plugins should use skills/."
"What does the agents/ directory do?","Holds custom agent definitions — specialized sub-agents with their own system prompts, tool restrictions, and models that a plugin can provide."
"What does the hooks/ directory do?","Holds event handlers defined in hooks.json — code that fires automatically on events like PostToolUse, without manual prompting."
"What is .mcp.json for in a plugin?","Configures MCP (Model Context Protocol) servers the plugin connects to — external tool integrations like databases, APIs, or ticketing systems."
"What is .lsp.json for in a plugin?","Configures Language Server Protocol servers for real-time code intelligence — useful for languages without an official LSP plugin already available."
"What is monitors/monitors.json for?","Defines background monitors that watch logs, files, or external status and notify Claude as events arrive, starting automatically when the plugin is active."
"What does settings.json at the plugin root control?","Default settings applied when the plugin is enabled — currently supports agent (activates a custom agent as the main thread) and subagentStatusLine keys."
"What happens when a plugin's settings.json sets 'agent': 'security-reviewer'?","It activates the security-reviewer custom agent (defined in the plugin's agents/ directory) as the main thread — applying its system prompt, tool restrictions, and model by default."
"Can a plugin ship just one skill without a skills/ folder?","Yes — place SKILL.md directly at the plugin root; Claude Code uses the frontmatter name field for the invocation name. Use skills/ once a plugin may grow beyond one skill."
"What does the bin/ directory in a plugin do?","Adds executables to the Bash tool's PATH while the plugin is enabled — but this directory can't be included in plugins distributed via claude.ai org settings."
"How do I test a plugin already packaged as a hosted .zip archive?","claude --plugin-url https://example.com/my-plugin.zip — Claude Code fetches and loads the archive for that session only."
"Can --plugin-dir accept a zip file directly?","Yes — claude --plugin-dir ./my-plugin.zip loads a zipped plugin archive the same way as an unzipped directory."
"How do I test multiple plugins at once locally?","Repeat the flag: claude --plugin-dir ./plugin-one --plugin-dir ./plugin-two."
